date,region,sales,profit
2025-12-11,East,9895,2847
2025-08-14,North,3544,2533
2025-08-09,West,6522,370
2025-07-30,East,3370,1894
2025-01-25,West,4281,910
2025-01-16,South,5710,2562
2025-07-01,North,1328,297
2025-11-25,South,6579,1179
2025-05-09,South,5228,2978
2025-02-11,North,7794,1326
2025-12-02,South,1120,1744
2025-08-24,North,7749,727
2025-12-26,West,1964,703
2025-02-03,South,5224,1261
2025-12-11,North,4675,1545
2025-02-14,East,6694,1180
2025-05-14,South,3076,1685
2025-01-21,West,7865,2218
2025-05-02,North,6643,1010
2025-03-11,South,9524,693
2025-12-18,South,6249,1495
2025-12-27,South,2316,699
2025-02-17,West,2196,613
2025-02-08,North,4170,1995
2025-10-14,East,1355,2231
2025-01-10,East,1028,1166
2025-01-30,East,2013,2986
2025-09-01,North,3024,2057
2025-10-01,East,9490,2753
2025-03-29,West,6839,909
2025-09-01,North,6791,2280
2025-11-25,South,1754,1188
2025-01-15,West,9961,389
2025-01-04,South,4735,2523
2025-07-10,East,2238,868
2025-06-17,West,2906,2614
2025-01-09,North,8399,570
2025-04-19,West,8961,2296
2025-05-17,South,5601,187
2025-06-03,North,2460,2543
2025-07-28,West,8669,889
2025-09-29,West,2416,1764
2025-05-23,West,8766,1409
2025-04-09,West,2428,964
2025-11-04,North,5378,1393
2025-03-10,South,8529,123
2025-09-04,West,5474,1986
2025-09-18,North,4071,410
